title,authors,journal,year,keywords,abstract,url,pmcid
Mice in Bion-M 1 Space Mission: Training and Selection,Alexander Andreev-Andrievskiy; Anfisa Popova; Richard Boyle; Jeffrey Alberts; Boris Shenkman; Olga Vinogradova; Oleg Dolgov; Konstantin Anokhin; Darya Tsvirkun; Pavel Soldatov; Tatyana Nemirovskaya; Eugeniy Ilyin; Vladimir Sychev,PLoS ONE,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,PMC4136787
Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health,Nelson Adolfo López Garzón; María Virginia Pinzón-Fernández; Jhan S Saavedra T; Humberto A Nati-Castillo; Marlon Arias-Intriago; Camila Salazar-Santoliva; Juan S Izquierdo-Condoy,International Journal of Molecular Sciences,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,PMC11988870
"Microgravity Induces Pelvic Bone Loss through Osteoclastic Activity, Osteocytic Osteolysis, and Osteoblastic Cell Cycle Inhibition by CDKN1a/p21",Elizabeth A Blaber; Natalya Dvorochkin; Chialing Lee; Joshua S Alwood; Rukhsana Yousuf; Piero Pianetta; Ruth K Globus; Brendan P Burns; Eduardo A C Almeida,PLoS ONE,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,PMC3630201
Selective Proliferation of Highly Functional Adipose-Derived Stem Cells in Microgravity Culture with Stirred Microspheres,Takanobu Mashiko; Koji Kanayama; Natsumi Saito; Takako Shirado; Rintaro Asahi; Masanori Mori; Kotaro Yoshimura,Cells,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,PMC7998608
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,Akhilesh Kumar; Candice G T Tahimic; Eduardo A C Almeida; Ruth K Globus,International Journal of Molecular Sciences,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,PMC8396460
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,Macarena Parra; Jimmy Jung; Travis D Boone; Luan Tran; Elizabeth A Blaber; Mark Brown; Matthew Chin; Tori Chinn; Jacob Cohen; Robert Doebler; Dzung Hoang; Elizabeth Hyde; Matthew Lera; Louie T Luzod; Mark Mallinson; Oana Marcu; Youssef Mohamedaly; Antonio J Ricco; Kathleen Rubins; Gregory D Sgarlato; Rafael O Talavera; Peter Tong; Eddie Uribe; Jeffrey Williams; Diana Wu; Rukhsana Yousuf; Charles S Richey; Julie Schonfeld; Eduardo A C Almeida,PLoS ONE,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,PMC5587110
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality,Megan M Pendleton; Saghi Sadoughi; Alfred Li; Grace D O'Connell; Joshua S Alwood; Tony M Keaveny,Bone Reports,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,PMC6222041
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,Joshua S Alwood; Luan H Tran; Ann-Sofie Schreurs; Yasaman Shirazi-Fard; Akhilesh Kumar; Diane Hilton; Candice G T Tahimic; Ruth K Globus,International Journal of Molecular Sciences,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,PMC5666799
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions,Joshua S Alwood; April E Ronca; Richard C Mains; Mark J Shelhamer; Jeffrey D Smith; Thomas J Goodwin,NPJ Microgravity,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,PMC5460236
Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae,Megan M Pendleton; Shannon R Emerzian; Jennifer Liu; Simon Y Tang; Grace D O’Connell; Joshua S Alwood; Tony M Keaveny,Bone,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,PMC6813909
5AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth,Jianling Peng; Hilal Ilarslan; Eve Syrkin Wurtele; Diane C Bassham,BMC Plant Biology,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/,PMC3040128
TNO1 Is Involved in Salt Tolerance and Vacuolar Trafficking in Arabidopsis,Sang-Jin Kim; Diane C Bassham,Plant Physiology,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/,PMC3177255
Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,Catherine Moorwood; Anastassios Philippou; Janelle Spinazzola; Benjamin Keyser; Edward J Macarak; Elisabeth R Barton,Skeletal Muscle,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,PMC4095884
Identification of a novel Golgi-localized putative glycosyltransferase protein in Arabidopsis thaliana,Natalia Rzepecka; Yoko Ito; Kei Yura; Emi Ito; Tomohiro Uemura,Plant Biotechnology,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/,PMC11500582
"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana",Rahul Roy; Diane C Bassham,BMC Plant Biology,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/,PMC5387210
The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus,"Martin P Kracklauer; Heather M Wiora; William J Deery; Xin Chen; Benjamin Bolival, Jr; Dwight Romanowicz; Rebecca A Simonette; Margaret T Fuller; Janice A Fischer; Kathleen M Beckingham",Journal of Cell Science,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,PMC2915878
Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila,Katherine Taylor; Kurt Kleinhesselink; Michael D George; Rachel Morgan; Tangi Smallwood; Ann S Hammonds; Patrick M Fuller; Perot Saelao; Jeff Alley; Allen G Gibbs; Deborah K Hoshizaki; Laurence von Kalm; Charles A Fuller; Kathleen M Beckingham; Deborah A Kimbrell,PLoS ONE,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,PMC3901686
Author Correction: Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,Afshin Beheshti; Kaushik Chakravarty; Homer Fogle; Hossein Fazelinia; Willian A da Silveira; Valery Boyko; San-Huei Lai Polo; Amanda M Saravia-Butler; Gary Hardiman; Deanne Taylor; Jonathan M Galazka; Sylvain V Costes,Scientific Reports,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/,PMC6985101
GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species,Afshin Beheshti; J Tyson McDonald; Jack Miller; Peter Grabham; Sylvain V Costes,International Journal of Molecular Sciences,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,PMC6387434
Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1,Rahul Roy; Diane C Bassham,Frontiers in Plant Science,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,PMC4642138
NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models,J Tyson McDonald; Robert Stainforth; Jack Miller; Thomas Cahill; Willian A da Silveira; Komal S Rathi; Gary Hardiman; Deanne Taylor; Sylvain V Costes; Vinita Chauhan; Robert Meller; Afshin Beheshti,Cancers,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,PMC7072278
FAIRness and Usability for Open-access Omics Data Systems,Daniel C Berrios; Afshin Beheshti; Sylvain V Costes,AMIA Annual Symposium Proceedings,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,PMC6371294
